Sample_ID,Source
80_S4_R1_001,batch_1
75_S3_R1_001,batch_1
73_S2_R1_001,batch_1
72_S1_R1_001,batch_1
71_S32_R1_001,batch_1
69_S31_R1_001,batch_1
68_S30_R1_001,batch_1
67_S29_R1_001,batch_1
66_S28_R1_001,batch_1
65_S27_R1_001,batch_1
64_S26_R1_001,batch_1
62_S25_R1_001,batch_1
56_S22_R1_001,batch_1
53_S21_R1_001,batch_1
51_S4_R1_001,batch_1
50_S20_R1_001,batch_1
47_S9_R1_001,batch_1
46_S21_R1_001,batch_1
44_S20_R1_001,batch_1
43_S19_R1_001,batch_1
42_S19_R1_001,batch_1
41_S18_R1_001,batch_1
40_S17_R1_001,batch_1
39_S16_R1_001,batch_1
38_S18_R1_001,batch_1
37_S3_R1_001,batch_1
36_S2_R1_001,batch_1
35_S15_R1_001,batch_1
34_S14_R1_001,batch_1
33_S13_R1_001,batch_1
30_S8_R1_001,batch_1
29_S12_R1_001,batch_1
28_S11_R1_001,batch_1
27_S1_R1_001,batch_1
26_S10_R1_001,batch_1
25_S9_R1_001,batch_1
24_S8_R1_001,batch_1
23_S7_R1_001,batch_1
88_S18_R1_001,batch_2
87_S17_R1_001,batch_2
86_S16_R1_001,batch_2
85_S15_R1_001,batch_2
84_S14_R1_001,batch_2
83_S13_R1_001,batch_2
82_S12_R1_001,batch_2
81_S11_R1_001,batch_2
80_S10_R1_001,batch_2
79_S9_R1_001,batch_2
78_S8_R1_001,batch_2
77_S7_R1_001,batch_2
76_S6_R1_001,batch_2
61_S12_R1_001,batch_2
60_S24_R1_001,batch_2
6_S16_R1_001,batch_2
59_S23_R1_001,batch_2
5_S7_R1_001,batch_2
4_S32_R1_001,batch_2
3_S14_R1_001,batch_2
2_S13_R1_001,batch_2
1_S31_R1_001,batch_2
